sequence,numOutputPointsT,numBitsGeoEncT,d1T,d2T,encTimeT,decTimeT
arco_valentino_dense_vox12,3203501,615816,61.8619,66.5516,8.703,0.43
arco_valentino_dense_vox12,2676518,1956784,65.6641,70.3469,20.38,1.269
arco_valentino_dense_vox12,1949402,5057176,70.4068,75.2051,34.588,2.875
arco_valentino_dense_vox12,1431450,7771784,74.2559,79.0275,21.431,3.664
arco_valentino_dense_vox12,2271817,12241384,78.0465,82.9215,13.879,5.371
boxer_viewdep_vox12,2701476,362536,74.1627,78.124,21.816,0.482
boxer_viewdep_vox12,6356135,1329464,76.6224,83.8253,74.811,1.252
boxer_viewdep_vox12,5114416,2490984,77.0663,84.958,74.668,2.548
boxer_viewdep_vox12,4257564,4992664,78.3553,86.1304,42.863,3.93
boxer_viewdep_vox12,4150827,10093224,80.9844,87.0635,34.615,6.007
dancer_vox11_00000001,2569916,46944,68.2071,69.0121,1.663,0.117
dancer_vox11_00000001,3361261,87408,72.4081,73.8804,4.037,0.195
dancer_vox11_00000001,3148012,209368,75.0371,77.2411,12.993,0.429
dancer_vox11_00000001,2566474,481728,78.5441,81.74,27.194,0.782
dancer_vox11_00000001,2553397,783240,79.7885,83.6042,27.393,0.778
egyptian_mask_vox12,2005027,337728,61.8655,67.5026,1.069,0.298
egyptian_mask_vox12,1004355,998264,64.9473,70.7593,1.751,0.708
egyptian_mask_vox12,404723,1677776,69.6423,75.1465,1.864,1.023
egyptian_mask_vox12,274113,2168792,74.2055,78.9958,1.36,0.987
egyptian_mask_vox12,402136,3147520,79.4635,84.6209,1.462,1.282
facade_00009_vox12,2904262,637224,69.2012,72.6777,10.898,0.535
facade_00009_vox12,3573025,2483760,72.885,77.8834,30.295,1.307
facade_00009_vox12,2083334,4738032,74.8936,80.2205,23.059,2.438
facade_00009_vox12,2014057,6644744,75.8124,81.0853,12.58,3.534
facade_00009_vox12,1850178,10272416,79.5124,84.293,12.083,4.966
facade_00064_vox11,3605335,66096,66.8029,67.7305,3.541,0.144
facade_00064_vox11,5206068,135400,70.6084,71.9551,9.292,0.207
facade_00064_vox11,5037879,348480,73.3893,75.3407,30.152,0.566
facade_00064_vox11,4240334,829592,76.3777,79.1454,64.738,1.097
facade_00064_vox11,4096921,1401776,78.1758,81.5428,65.03,1.167
ford_02_q1mm,42928688,58483976,47.53551519999996,53.24607773333326,272.30200000000053,54.074999999999584
ford_02_q1mm,100233198,107273152,52.34020860000007,58.02865713333326,301.2360000000001,83.69000000000017
ford_02_q1mm,209266841,209132376,56.921027066666596,62.37135619999998,359.5200000000009,142.07599999999962
ford_02_q1mm,365570537,454449960,62.735669466666586,68.15299826666657,461.32600000000025,263.71999999999974
ford_02_q1mm,427474783,688272160,66.80835040000001,72.29331246666666,522.0440000000016,396.55699999999894
ford_03_q1mm,52281909,70885736,47.21229213333338,53.06162840000005,276.373,59.87799999999974
ford_03_q1mm,119779805,128541808,51.83996379999996,57.4474434,311.2610000000007,94.92599999999985
ford_03_q1mm,241966355,250126464,56.44332613333328,62.171692333333446,374.3340000000006,163.51200000000028
ford_03_q1mm,400847888,535099552,62.502382866666615,68.33657579999996,471.99599999999975,291.2149999999998
ford_03_q1mm,443711733,788076552,66.50553453333339,72.76089780000005,524.6890000000012,409.3409999999985
house_without_roof_00057_vox12,5063800,845320,70.2228,73.8038,54.333,0.842
house_without_roof_00057_vox12,8807385,3793304,73.7155,78.292,177.772,2.202
house_without_roof_00057_vox12,6182255,7927504,75.8318,80.7386,152.165,4.653
house_without_roof_00057_vox12,6411097,11849632,76.8567,81.9336,86.272,6.69
house_without_roof_00057_vox12,5921318,19194224,79.2659,84.6076,58.92,9.601
queen_0200,770485,14864,61.6464,62.442,0.665,0.06
queen_0200,1119476,29512,65.8202,67.2294,0.981,0.083
queen_0200,1099187,74160,68.9305,71.0249,2.168,0.162
queen_0200,928281,167264,71.8349,76.0335,4.125,0.274
queen_0200,931519,281312,73.1119,77.9084,4.16,0.28
shiva_00035_vox12,1775250,246320,64.5783,68.1736,2.936,0.219
shiva_00035_vox12,2152699,927608,66.7825,70.7061,9.503,0.691
shiva_00035_vox12,2011575,3262472,70.5878,75.3573,19.634,2.06
shiva_00035_vox12,1097026,5378032,74.0672,78.8708,11.668,3.075
shiva_00035_vox12,1714358,8815600,78.0545,83.0593,7.731,4.473
soldier_viewdep_vox12,3249199,462576,73.7423,77.0873,30.11,0.559
soldier_viewdep_vox12,7582603,1724960,76.4804,83.4,104.508,1.568
soldier_viewdep_vox12,5985084,3309752,76.914,84.6363,102.454,3.207
soldier_viewdep_vox12,4938390,6502368,78.1647,85.7114,60.893,4.954
soldier_viewdep_vox12,4699369,12734784,81.4495,87.15,50.489,7.593
soldier_vox10_0690,1006894,22352,60.3432,60.9598,0.516,0.069
soldier_vox10_0690,1420871,45872,64.5353,65.6907,0.941,0.098
soldier_vox10_0690,1384487,113808,67.6673,69.6216,2.576,0.215
soldier_vox10_0690,1130360,248128,71.247,74.1512,5.209,0.419
soldier_vox10_0690,1106675,388264,72.8961,76.2662,5.238,0.375
staue_klimt_vox12,1049123,137768,64.4024,67.9998,1.038,0.148
staue_klimt_vox12,1160791,543680,66.5972,70.6105,2.933,0.427
staue_klimt_vox12,990772,1838032,70.4285,75.3919,5.43,1.169
staue_klimt_vox12,530034,2897840,74.0477,78.8713,3.396,1.682
staue_klimt_vox12,839611,4597296,78.3543,83.4665,2.83,2.453
thaidancer_viewdep_vox12,3888408,79184,73.4982,74.3779,3.257,0.108
thaidancer_viewdep_vox12,4989606,147424,77.3502,78.9723,7.763,0.215
thaidancer_viewdep_vox12,4769919,343840,79.4927,81.8549,23.957,0.586
thaidancer_viewdep_vox12,3893651,786472,81.9878,85.3332,24.99,1.149
thaidancer_viewdep_vox12,3808951,1248824,82.7545,86.4804,25.109,1.24
ulb_unicorn_vox13,11971347,1282752,68.2073,77.8248,36.171,1.403
ulb_unicorn_vox13,6998441,5359896,71.5852,77.9575,69.355,4.147
ulb_unicorn_vox13,3581595,10913432,76.3053,82.4823,81.958,6.768
ulb_unicorn_vox13,1991457,14224096,80.6156,86.3555,42.633,7.169
ulb_unicorn_vox13,3078379,21095808,85.0336,90.4249,24.883,8.949
